ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399975.SZ,20141031,644.342,610.186,651.864,580.734,607.757,36.5849,0.0602,25159265413.0,249986735950.0
399975.SZ,20141128,910.973,647.829,931.601,639.314,644.342,266.631,0.4138,60933561656.0,713713077664.0
399975.SZ,20141231,1436.175,921.29,1513.988,896.738,910.973,525.2024,0.5765,115715560236.0,2373913707361.0
399975.SZ,20150130,1222.093,1439.596,1510.893,1148.537,1436.175,-214.0824,-0.1491,56958392860.0,1258097431093.0
399975.SZ,20150227,1334.944,1182.404,1358.188,1168.19,1222.093,112.851,0.0923,32263141316.0,663158926833.0
399975.SZ,20150331,1500.839,1364.432,1589.767,1214.274,1334.944,165.8952,0.1243,59585472415.0,1309467853993.0
399975.SZ,20150430,1642.637,1508.31,1810.602,1498.077,1500.839,141.7984,0.0945,72851028160.0,1862774384509.0
399975.SZ,20150529,1544.429,1640.45,1746.175,1516.396,1642.637,-98.2084,-0.0598,53545572820.0,1340485213993.0
399975.SZ,20150630,1324.608,1545.846,1734.667,1159.072,1544.429,-219.821,-0.1423,55324105870.0,1346879448926.0
399975.SZ,20150731,1038.317,1307.387,1343.299,951.911,1324.608,-286.291,-0.2161,68003362552.0,1276450107869.0
399975.SZ,20150831,772.053,1018.341,1129.881,690.236,1038.317,-266.264,-0.2564,39822669900.0,595587607338.0
399975.SZ,20150930,744.029,754.851,828.63,705.753,772.053,-28.024,-0.0363,24783055900.0,303989634745.0
399975.SZ,20151030,888.567,793.062,939.338,774.207,744.029,144.538,0.1943,27209282601.0,370776561480.17
399975.SZ,20151130,989.356,868.305,1210.015,856.892,888.567,100.789,0.1134,73651234723.0,1220549579365.0
399975.SZ,20151231,1038.161,982.71,1175.225,971.508,989.356,48.805,0.0493,45123295767.0,776813263093.0
399975.SZ,20160129,761.388,1032.571,1035.77,708.535,1038.161,-276.773,-0.2666,29081245590.0,409385542600.0
399975.SZ,20160229,716.98,755.827,827.067,695.838,761.388,-44.408,-0.0583,19856306230.0,252528074595.0
399975.SZ,20160331,888.631,720.123,927.105,712.276,716.98,171.651,0.2394,46935628212.0,659622216535.0
399975.SZ,20160429,841.965,883.944,920.984,837.128,888.631,-46.666,-0.0525,27363106903.0,400768304946.0
399975.SZ,20160531,863.956,842.124,868.023,775.903,841.965,21.991,0.0261,19555104068.0,271869716924.0
399975.SZ,20160630,863.881,866.078,873.071,802.459,863.956,-0.075,-0.0001,25840289440.0,361948667201.0
399975.SZ,20160729,844.846,867.134,928.966,842.153,863.881,-19.035,-0.022,25351993355.0,362064928300.0
399975.SZ,20160831,890.213,843.512,951.832,831.153,844.846,45.367,0.0537,25177061749.0,355785865236.0
399975.SZ,20160930,851.422,889.305,895.277,835.115,890.213,-38.791,-0.0436,15611272703.0,193780172817.0
399975.SZ,20161031,888.178,858.325,913.0,850.055,851.422,36.756,0.0432,16205528276.0,201571886015.0
399975.SZ,20161130,941.829,887.359,977.923,886.708,888.178,53.651,0.0604,39831500283.0,540526239666.0
399975.SZ,20161230,843.297,939.971,951.347,828.259,941.829,-98.532,-0.1046,19790630549.0,263423907501.0
399975.SZ,20170126,845.011,843.955,855.337,826.029,843.297,1.714,0.002,9432524354.0,125725519358.0
