trade_date,open,high,low,close,pct_chg,volume,amount_est,ts_code,name,rzye,rqye,rzmre,rqyl,rzche,rqchl,rqmcl,rzrqye,financing_net,financing_net_ma5,rzye_slope_5d,rzye_ma10,rzye_acceleration,leverage_ratio,leverage_ratio_z20,rzye_z20,close_ma5,close_ma20,net_buy_3d_pos,rzye_new_high_20d,buy_signal,price_new_high_20d,sell_signal,future_return_3d,future_return_5d
20210420,1.045,1.055,1.038,1.039,-0.95,911110000.0,946643289.9999999,512880.SH,证券ETF,3094346162.0,38250369.4,160494814.0,36814600.0,171493756.0,500000.0,0.0,3132596531.4,-10998942.0,-31706645.0,-158533225.0,3190243676.9,-95897514.9000001,3.2687562408011157,0.7208843955724246,-1.8027661967695232,1.0299999999999998,1.04055,0,0,0,0,0,-0.0009624639076033503,-0.024061597690086534
20210421,1.035,1.044,1.033,1.037,-0.19,658970000.0,683351890.0,512880.SH,证券ETF,3077301137.0,36932340.2,110404017.0,35614600.0,130211309.0,1200000.0,0.0,3114233477.2,-19807292.0,-23091495.2,-112695209.0,3174993653.5,-97692516.5,4.503245226994251,2.135640400641452,-2.0693523610037015,1.0324,1.0397,0,0,0,0,0,-0.016393442622950727,-0.01928640308582452
20210422,1.042,1.05,1.038,1.04,0.29,907700000.0,944008000.0,512880.SH,证券ETF,3041693522.0,22505600.0,143257377.0,21640000.0,178864992.0,16884600.0,2910000.0,3064199122.0,-35607615.0,-31287117.0,-153673318.0,3158228736.5,-116535214.5,3.2221056622401507,0.3384281418564486,-2.250038647866943,1.0374,1.0387,0,0,0,0,0,-0.025000000000000022,0.0019230769230769162
20210423,1.036,1.045,1.035,1.038,-0.19,797560000.0,827867280.0,512880.SH,证券ETF,3027474738.0,24019320.0,146995252.0,23140000.0,161214036.0,0.0,1500000.0,3051494058.0,-14218784.0,-27614959.0,-135312528.0,3139037968.0,-111563230.0,3.656956629569899,0.9539398596048971,-2.2246180969043055,1.0406,1.03805,0,0,0,0,0,-0.020231213872832443,-0.006743737957610851
20210426,1.04,1.051,1.02,1.02,-1.73,1290000000.0,1315800000.0,512880.SH,证券ETF,2998574048.0,19012800.0,228132558.0,18640000.0,257033248.0,4500000.0,0.0,3017586848.0,-28900690.0,-21906664.6,-106771056.0,3114576455.0,-116002407.0,2.2788980452956378,-1.010143286805109,-2.178785915735491,1.0348000000000002,1.0361999999999998,0,0,0,0,0,0.021568627450980316,0.0019607843137254832
20210427,1.017,1.023,1.005,1.014,-0.59,1500000000.0,1521000000.0,512880.SH,证券ETF,3061212904.0,32327334.0,248974334.0,31881000.0,186335478.0,500000.0,13741000.0,3093540238.0,62638856.0,-7179105.0,-33133258.0,3095409806.7,-34196902.69999981,2.012631758053912,-1.2672145926928537,-1.2333155097786221,1.0298,1.0341,0,0,0,0,0,0.0167652859960552,-0.006903353057199357
20210428,1.011,1.022,1.01,1.017,0.3,875190000.0,890068229.9999999,512880.SH,证券ETF,3029080574.0,29635380.0,141653797.0,29140000.0,173786127.0,6741000.0,4000000.0,3058715954.0,-32132330.0,-9644112.6,-48220563.0,3079318229.5,-50237655.5,3.403200419815007,0.6301301982968238,-1.4518502266358009,1.0257999999999998,1.03235,0,0,0,0,0,0.004916420845624492,-0.018682399213372558
20210429,1.018,1.05,1.017,1.042,2.46,2200000000.0,2292400000.0,512880.SH,证券ETF,2953483004.0,41928204.4,258213110.0,40238200.0,333810680.0,1000000.0,12098200.0,2995411208.4,-75597570.0,-17642103.6,-88210518.0,3055129845.9,-101646841.9000001,1.288380301867039,-1.9203881405446743,-1.9982998297236647,1.0262,1.0326,0,0,0,0,0,-0.0335892514395395,-0.027831094049904137
20210430,1.038,1.044,1.027,1.031,-1.06,1340000000.0,1381540000.0,512880.SH,证券ETF,2933812748.0,43032084.2,211046349.0,41738200.0,230716605.0,500000.0,2000000.0,2976844832.2,-19670256.0,-18732398.0,-93661990.0,3032232394.1,-98419646.0999999,2.1235814728491396,-0.9127367240795853,-1.8964788475310221,1.0248,1.0319,0,0,0,0,0,-0.03200775945683798,-0.020368574199805978
20210506,1.04,1.045,1.021,1.022,-0.87,1020000000.0,1042440000.0,512880.SH,证券ETF,2986268653.0,44189440.4,211118886.0,43238200.0,158662981.0,0.0,1500000.0,3030458093.4,52455905.0,-2461079.0,-12305395.0,3020324749.0,-34056096.0,2.864691160162695,-0.007487231481515105,-1.2286076092126421,1.0252,1.0306,0,0,0,0,0,-0.008806262230919848,-0.015655577299412915
20210507,1.021,1.023,1.005,1.007,-1.47,1460000000.0,1470219999.9999998,512880.SH,证券ETF,3020546596.0,43540867.4,226067949.0,43238200.0,191758931.0,500000.0,500000.0,3064087463.4,34309018.0,-8127046.6,-40666308.0,3012944792.4,7601803.599999905,2.0544861286066034,-0.925242892854478,-0.8056431824170366,1.0238,1.02865,0,0,0,0,0,0.002979145978152964,0.07348560079443911
20210510,1.007,1.007,0.992,0.998,-0.89,1360000000.0,1357280000.0,512880.SH,证券ETF,3123604185.0,42403223.6,288253845.0,42488200.0,185196256.0,1500000.0,750000.0,3166007408.6,103057589.0,18910937.2,94523611.0,3017575097.2,106029087.80000019,2.3013705241365083,-0.575002783265102,0.2833767699604147,1.02,1.0264,1,0,0,0,0,0.008016032064128265,0.06813627254509025
20210511,0.993,1.019,0.99,1.013,1.5,1480000000.0,1499239999.9999998,512880.SH,证券ETF,3086407652.0,44360384.3,215979501.0,43791100.0,253176034.0,1000000.0,2302900.0,3130768036.3,-37196533.0,26591144.6,132924648.0,3022046510.2,64361141.80000019,2.0586481497291964,-0.9205912300006707,-0.040168795897046895,1.0142,1.0246499999999998,0,0,0,0,0,0.06712734452122415,0.0513326752221126
20210512,1.008,1.013,1.003,1.01,-0.3,869180000.0,877871800.0,512880.SH,证券ETF,3076366232.0,32166682.0,175104561.0,31848200.0,185145981.0,13500000.0,1557100.0,3108532914.0,-10041420.0,28516911.8,142553484.0,3026935659.6,49430572.400000095,3.5043456595826408,0.8624998269695063,-0.07522591513140098,1.01,1.02335,0,0,0,0,0,0.055445544554455495,0.05346534653465351
20210513,1.004,1.014,1.002,1.006,-0.4,778750000.0,783422500.0,512880.SH,证券ETF,3056593956.0,32542289.2,132626344.0,32348200.0,152398620.0,0.0,500000.0,3089136245.2,-19772276.0,14071275.6,70325303.0,3032737650.4,23856305.599999905,3.9015907202052533,1.2236298636843967,-0.21311918627586465,1.0068000000000001,1.0229,0,0,0,0,0,0.05864811133200787,0.07256461232604372
20210514,1.01,1.087,1.01,1.081,7.46,4570000000.0,4940170000.0,512880.SH,证券ETF,2913748352.0,38645750.0,373771889.0,35750000.0,516617493.0,7250000.0,10651800.0,2952394102.0,-142845604.0,-21359648.8,-106798244.0,3017991195.2,-104242843.19999981,0.5898073046069264,-2.21325823217703,-1.8778359980238049,1.0215999999999998,1.0263,0,0,0,1,1,-0.015726179463459666,-0.0194264569842737
20210517,1.063,1.076,1.056,1.066,-1.39,2109999999.9999998,2249260000.0,512880.SH,证券ETF,2903234879.0,34929829.87,293568705.0,32767195.0,304082178.0,9469000.0,6486195.0,2938164708.87,-10513473.0,-44073861.2,-220369306.0,3005406625.7,-102171746.69999981,1.290751126592746,-1.3449656665143936,-1.8145518855397755,1.0352,1.02835,0,0,0,0,0,0.012195121951219523,0.013133208255159401
20210518,1.061,1.083,1.059,1.065,-0.09,1510000000.0,1608150000.0,512880.SH,证券ETF,2942285856.0,38877074.175,249329121.0,36504295.0,210278144.0,3762900.0,7500000.0,2981162930.175,39050977.0,-28824359.2,-144121796.0,3004286910.9,-62001054.900000095,1.8296090887044119,-0.7371358703135712,-1.2303385606859951,1.0456,1.0308499999999998,0,0,0,0,0,-0.004694835680751019,0.05821596244131455
20210519,1.06,1.079,1.06,1.064,-0.09,1270000000.0,1351280000.0,512880.SH,证券ETF,2916454218.0,41500569.88,202925206.0,39004295.0,228756844.0,4500000.0,7000000.0,2957954787.88,-25831638.0,-31982402.8,-159912014.0,3002551057.9,-86096839.9000001,2.158290079036173,-0.3478109402577028,-1.479736916332436,1.0564,1.03295,0,0,0,0,0,0.015037593984962516,0.0563909774436091
20210520,1.063,1.092,1.063,1.079,1.41,1880000000.0,2028520000.0,512880.SH,证券ETF,2949029507.0,45994203.905,333012793.0,42626695.0,300437504.0,5000000.0,8622400.0,2995023710.905,32575289.0,-21512889.8,-107564449.0,2998827143.3,-49797636.30000019,1.4537837965610396,-1.048084670433749,-0.9087711319908901,1.071,1.03445,0,0,0,0,0,0.04448563484708057,0.04263206672845232
20210521,1.079,1.081,1.058,1.06,-1.76,1440000000.0,1526400000.0,512880.SH,证券ETF,2934669763.0,45184296.7,227327613.0,42626695.0,241687357.0,0.0,0.0,2979854059.7,-14359744.0,4184282.2,20921411.0,2990239460.0,-55569697.0,1.9226085973532494,-0.5098923574794924,-1.0209919777597891,1.0668,1.0355,0,0,0,0,0,0.060377358490566024,0.07735849056603761
20210524,1.066,1.092,1.066,1.08,1.89,1970000000.0,2127600000.0000002,512880.SH,证券ETF,2918249911.0,42948030.6,293993794.0,39766695.0,310413646.0,3360000.0,500000.0,2961197941.6,-16419852.0,3003006.4,15015032.0,2969704032.6,-51454121.599999905,1.3716158634141755,-1.01808494101848,-1.1505121557850697,1.0696,1.03765,0,0,0,0,0,0.04166666666666652,0.05925925925925912
20210525,1.078,1.133,1.076,1.127,4.35,3620000000.0,4079740000.0,512880.SH,证券ETF,2900185593.0,50178880.465,389304571.0,44524295.0,407368889.0,3115700.0,7873300.0,2950364473.465,-18064318.0,-8420052.6,-42100263.0,2951081826.7,-50896233.69999981,0.7108751030702937,-1.5692688055633395,-1.2784619481927535,1.082,1.042,0,0,0,1,1,0.013309671694764713,0.0017746228926354135
20210526,1.133,1.148,1.122,1.124,-0.27,2450000000.0,2753800000.0000005,512880.SH,证券ETF,2639662805.0,48763947.58,257531649.0,43384295.0,518054437.0,1500000.0,360000.0,2688426752.58,-260522788.0,-55358282.6,-276791413.0,2907411484.0,-267748679.0,0.9585528378967244,-1.1957896991793977,-3.255261682666266,1.0939999999999999,1.0463,0,0,0,0,0,0.017793594306049654,-0.01690391459074747
20210527,1.12,1.138,1.117,1.125,0.09,1430000000.0,1608750000.0,512880.SH,证券ETF,2672773253.0,49369831.875,258199435.0,43884295.0,225088987.0,500000.0,1000000.0,2722143084.875,33110448.0,-55251250.8,-276256254.0,2869029413.7,-196256160.6999998,1.6613975154623155,-0.3562011514509231,-2.338695414725191,1.1032,1.0515500000000002,0,0,0,0,0,0.003555555555555534,-0.01777777777777778
20210528,1.125,1.162,1.121,1.142,1.51,2170000000.0,2478140000.0,512880.SH,证券ETF,2630209040.0,48688364.89,291814980.0,42634295.0,334379193.0,3000000.0,1750000.0,2678897404.89,-42564213.0,-60892144.6,-304460723.0,2840675482.5,-210466442.5,1.061364184428644,-0.9633499888220606,-2.216661139187231,1.1196,1.05795,0,0,0,1,1,-0.03239929947460585,-0.027145359019264403
20210531,1.142,1.147,1.131,1.144,0.18,1270000000.0,1452879999.9999998,512880.SH,证券ETF,2639033179.0,48773633.48,251193736.0,42634295.0,242369597.0,0.0,0.0,2687806812.48,8824139.0,-55843346.4,-279216732.0,2814255312.5,-175222133.5,1.8164151058587086,-0.03575556635172031,-1.8448670375099556,1.1324,1.0642999999999998,0,0,0,1,0,-0.03409090909090906,-0.020979020979020824
20210601,1.138,1.138,1.116,1.129,-1.31,1570000000.0,1772530000.0,512880.SH,证券ETF,2690473095.0,49263119.055,295139841.0,43634295.0,243699925.0,0.0,1000000.0,2739736214.055,51439916.0,-41942499.6,-209712498.0,2789074036.4,-98600941.4000001,1.5178716834129746,-0.4121585653789696,-1.3399314037051862,1.1328,1.06865,0,0,0,0,0,-0.01594331266607618,-0.006200177147918429
