ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
600030.SH,20240327,20231231,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,210325343.0,1.4191,1.8504,13484343.0,开放式投资基金
600030.SH,20240327,20231231,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.8048,0.0,资产管理公司
600030.SH,20240327,20231231,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.5553,0.0,基金专户理财
600030.SH,20240327,20231231,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.121,1.4617,0.0,基金专户理财
600030.SH,20240327,20231231,中欧基金-农业银行-中欧中证金融资产管理计划,161205735.0,1.0877,1.4182,0.0,基金专户理财
600030.SH,20231031,20230930,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.5553,0.0,基金专户理财
600030.SH,20231031,20230930,广州越秀资本控股集团有限公司,626191828.0,4.2252,0.0,0.0,一般企业
600030.SH,20231031,20230930,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.8048,0.0,资产管理公司
600030.SH,20231031,20230930,中国中信金融控股有限公司,2299650108.0,15.5166,20.2315,,一般企业
600030.SH,20231031,20230930,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.121,1.4617,0.0,基金专户理财
600030.SH,20231031,20230930,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,196841000.0,1.3282,1.7317,-22246656.0,开放式投资基金
600030.SH,20231031,20230930,香港中央结算(代理人)有限公司,2620076855.0,17.6787,,1075559.0,一般企业
600030.SH,20231031,20230930,广州越秀资本控股集团股份有限公司,305155945.0,2.059,0.0,0.0,一般企业
600030.SH,20231031,20230930,香港中央结算有限公司,478809932.0,3.2307,4.2124,-22505579.0,一般企业
600030.SH,20231031,20230930,中欧基金-农业银行-中欧中证金融资产管理计划,161205735.0,1.0877,1.4182,0.0,基金专户理财
600030.SH,20230830,20230630,广州越秀资本控股集团有限公司,626191828.0,4.2252,0.0,0.0,一般企业
600030.SH,20230830,20230630,广州越秀资本控股集团股份有限公司,305155945.0,2.059,0.0,0.0,一般企业
600030.SH,20230830,20230630,香港中央结算(代理人)有限公司,2619001296.0,17.6714,,121750.0,一般企业
600030.SH,20230830,20230630,中国中信有限公司,2299650108.0,15.5166,20.2315,0.0,一般企业
