ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,abs_pct_chg,vol,amount
000001.SH,20071122,5113.882,5154.858,4969.894,4984.161,5214.225,-230.064,-4.4122,4.4122,40370330.0,64731749.501
000001.SH,20000316,1671.097,1671.178,1596.072,1607.527,1681.471,-73.944,-4.3976,4.3976,19791759.0,13637411.551
000001.SH,20190308,3038.3362,3075.0461,2969.5815,2969.8614,3106.4179,-136.5565,-4.3959,4.3959,577855473.0,525598246.4
000001.SH,20121214,2062.689,2152.496,2062.543,2150.625,2061.476,89.149,4.3245,4.3245,160873812.0,117707099.283
000001.SH,20141204,2783.469,2900.508,2772.432,2899.456,2779.525,119.931,4.3148,4.3148,532687718.0,509218572.463
000001.SH,20151104,3325.6187,3459.6459,3325.6187,3459.6396,3316.6954,142.9442,4.3098,4.3098,339078730.0,426104385.846
000001.SH,20090819,2916.095,2929.063,2761.395,2785.584,2910.884,-125.3,-4.3045,4.3045,114469464.0,122268195.8385
000001.SH,20150821,3609.9587,3652.8368,3490.5401,3507.744,3664.2907,-156.5467,-4.2722,4.2722,369920479.0,450616485.183
000001.SH,20100629,2534.496,2541.142,2425.927,2427.053,2535.278,-108.225,-4.2688,4.2688,73744904.0,71361871.446
000001.SH,20160302,2733.767,2852.7,2732.539,2849.681,2733.17,116.511,4.2629,4.2629,270961783.0,259318766.547
000001.SH,20060512,1532.878,1603.211,1531.233,1602.832,1537.377,65.455,4.2576,4.2576,68393752.0,41492555.026
000001.SH,20081016,1916.133,1943.32,1901.503,1909.941,1994.667,-84.726,-4.2476,4.2476,50672447.0,35148740.345
000001.SH,20000111,1547.678,1547.708,1468.757,1479.781,1545.112,-65.331,-4.2282,4.2282,21924554.0,15771749.15
000001.SH,20040915,1303.288,1374.036,1301.376,1355.226,1300.357,54.869,4.2195,4.2195,29312772.0,17022337.044
000001.SH,20061229,2585.417,2698.904,2585.417,2675.474,2567.594,107.88,4.2016,4.2016,86769012.0,59092790.025
000001.SH,20120117,2206.531,2298.376,2196.117,2298.376,2206.193,92.183,4.1784,4.1784,87803560.0,77406846.62
000001.SH,20071129,4870.861,5011.194,4814.783,5003.333,4803.394,199.939,4.1625,4.1625,50071545.0,81196484.501
000001.SH,20240924,2770.7543,2863.1519,2761.3717,2863.1255,2748.9177,114.2078,4.1546,4.1546,477619545.0,442795296.9
000001.SH,20061211,2085.058,2181.164,2084.267,2180.496,2093.638,86.858,4.1487,4.1487,62676017.0,37029535.708
000001.SH,20080423,3116.412,3296.717,3089.893,3278.33,3147.793,130.537,4.1469,4.1469,66235125.0,86113923.613
000001.SH,20080507,3716.446,3774.066,3577.991,3579.147,3733.503,-154.356,-4.1343,4.1343,90497143.0,133546608.663
000001.SH,20080401,3461.085,3493.133,3308.902,3329.162,3472.713,-143.551,-4.1337,4.1337,54831376.0,73093942.416
000001.SH,20100506,2838.951,2838.951,2734.999,2739.702,2857.151,-117.449,-4.1107,4.1107,92649316.0,113201237.644
000001.SH,20181022,2565.6444,2675.4063,2565.6444,2654.8762,2550.4652,104.411,4.0938,4.0938,211888449.0,197309813.0
000001.SH,20080225,4370.188,4391.333,4182.774,4192.533,4370.285,-177.752,-4.0673,4.0673,58811935.0,93047459.921
000001.SH,20020117,1476.358,1476.378,1416.302,1419.519,1479.619,-60.1,-4.0619,4.0619,5682128.0,4993908.485
000001.SH,20150505,4479.848,4488.865,4282.237,4298.706,4480.464,-181.758,-4.0567,4.0567,572858596.0,805566079.218
