ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
600030.SH,20211029,20211029,20210930,1,4,3,1.36,1.36,57811543804.57,57811543804.57,15843297695.93,,,25597257515.76,17128842604.67,602552863.16,,,,,10879431053.4,5644061972.96,8579472091.76,11301812109.06,128236056.05,15925581698.17,649749755.96,252947950.97,33931255674.97,,11457113257.69,,328741571.55,,20297424907.76,,,,,,,,33931255674.97,,,,10699259245.9,23880288129.6,29360226.01,74002117.44,,23835646238.17,5539831686.66,18295814551.51,17645144597.36,650669954.15,-1035405813.7,17260408737.81,16620751293.33,639657444.48,,,,,,,,,,,,,,,,,,,,,,,18295814551.51,0
600030.SH,20210820,20210820,20210630,1,4,2,0.94,0.94,37720623459.15,37720623459.15,9855886502.89,,,16010064223.0,12304681816.69,264616647.38,,,,,6741864066.04,3306766633.47,5571844419.11,7346955982.31,1836523107.53,10019827080.76,427533871.28,45594075.48,21378047051.48,,7532348418.36,,210350142.15,,13345700573.82,,,,,,,,21378047051.48,,,,7082339334.93,16342576407.67,18077484.8,69430931.82,,16291222960.65,3696873257.0,12594349703.65,12197983849.06,396365854.59,-1354715200.2,11239634503.45,10854938387.07,384696116.38,31142610346.61,31924453567.84,,,,,,,,,,,,,,,,,,,,,12594349703.65,1
600030.SH,20210429,20210429,20210331,1,4,1,0.4,0.4,16396868531.02,16396868531.02,4759819651.23,,,8075071695.38,4478355972.02,149191109.11,,,,,3522030829.75,1593105135.21,2788220167.1,2925078414.28,-373742999.84,4277966339.54,29621857.42,321053970.36,9560391104.07,,3692266092.78,,105663556.07,,6286082805.28,,,,,,,,9560391104.07,,,,2775887305.17,6836477426.95,11889232.6,5979690.19,,6842386969.36,1499126973.16,5343259996.2,5164799333.48,178460662.72,-925399171.74,4417860824.46,4240561969.28,177298855.18,,,,,,,,,,,,,,,,,,,,,,,5343259996.2,1
600030.SH,20210429,20210429,20210331,1,4,1,0.4,0.4,16396868531.02,16396868531.02,4759819651.23,,,8075071695.38,4478355972.02,149191109.11,,,,,3522030829.75,1593105135.21,2788220167.1,2925078414.28,-373742999.84,4277966339.54,29621857.42,321053970.36,9560391104.07,,3692266092.78,,105663556.07,,6286082805.28,,,,,,,,9560391104.07,,,,2775887305.17,6836477426.95,11889232.6,5979690.19,,6842386969.36,1499126973.16,5343259996.2,5164799333.48,178460662.72,-925399171.74,4417860824.46,4240561969.28,177298855.18,,,,,,,,,,,,,,,,,,,,,,,5343259996.2,0
600030.SH,20210319,20210319,20201231,1,4,4,1.16,1.16,54382730241.56,54382730241.56,15527762569.22,,,26764047167.74,18905771087.4,572141441.78,,,,,11256683437.02,6881554913.92,8006199673.75,6698087738.91,-6391105422.48,24883520433.6,585756428.45,-329368300.02,33744484298.55,,12940796879.93,,398254387.66,,20144546139.07,,,,,,,,33744484298.55,,,,6125946297.13,20638245943.01,78823057.99,246611221.58,,20470457779.42,4953916724.67,15516541054.75,14902324215.75,614216839.0,-668241580.46,14848299474.29,14264790315.06,583509159.23,40370586881.32,41977944080.73,,,,,,,,,,,,,,,,,,,,,15516541054.75,1
600030.SH,20210319,20210319,20201231,1,4,4,1.16,1.16,54382730241.56,54382730241.56,15527762569.22,,,26764047167.74,18905771087.4,572141441.78,,,,,11256683437.02,6881554913.92,8006199673.75,6698087738.91,-6391105422.48,24883520433.6,585756428.45,-329368300.02,33744484298.55,,12940796879.93,,398254387.66,,20144546139.07,,,,,,,,33744484298.55,,,,6125946297.13,20638245943.01,78823057.99,246611221.58,,20470457779.42,4953916724.67,15516541054.75,14902324215.75,614216839.0,-668241580.46,14848299474.29,14264790315.06,583509159.23,14488993121.46,16096350320.87,,,,,,,,,,,,,,,,,,,,,15516541054.75,0
600030.SH,20201030,20201030,20200930,1,4,3,0.99,0.99,41994620928.37,41994620928.37,11181532007.78,,,18841130568.48,16922896044.3,362526578.13,,,,,8534884855.54,4492638032.57,5394239764.28,4761629372.78,742741805.49,15445764003.96,312018631.32,237062153.34,25016862783.97,,9350040486.84,,297333170.44,,14933843795.37,,359249164.86,,,,,,25016862783.97,,,,4399102794.65,16977758144.4,61296925.23,58323811.04,,16980731258.59,3868223964.8,13112507293.79,12660811986.98,451695306.81,-255653129.11,12856854164.68,12418130692.14,438723472.54,,,,,,,,,,,,,,,,,,,,,,,13112507293.79,1
600030.SH,20201030,20201030,20200930,1,4,3,0.99,0.99,41994620928.37,41994620928.37,11181532007.78,,,18841130568.48,16922896044.3,362526578.13,,,,,8534884855.54,4492638032.57,5394239764.28,4761629372.78,742741805.49,15445764003.96,312018631.32,237062153.34,25016862783.97,,9350040486.84,,297333170.44,,14933843795.37,,359249164.86,,,,,,25016862783.97,,,,4399102794.65,16977758144.4,61296925.23,58323811.04,,16980731258.59,3868223964.8,13112507293.79,12660811986.98,451695306.81,-255653129.11,12856854164.68,12418130692.14,438723472.54,,,,,,,,,,,,,,,,,,,,,,,13112507293.79,0
600030.SH,20200825,20200825,20200630,1,4,2,0.7,0.7,26743555665.56,26743555665.56,6957480416.38,,,10826568650.75,12504314353.11,233955610.58,,,,,5008405370.28,2220929171.01,3290032689.15,2836257662.77,3756765438.35,8130287114.9,91804295.6,288585305.58,14866875586.68,,6147109806.87,,185972583.15,,9777495813.06,,,,,,,,14866875586.68,,,,2602302052.19,11876680078.88,43631639.82,46567912.63,,11873743806.07,2653479640.43,9220264165.64,8925877416.81,294386748.83,-206670452.2,9013593713.44,8713894656.97,299699056.47,20988586311.11,21843557927.5,,,,,,,,,,,,,,,,,,,,,9220264165.64,1
600030.SH,20200825,20200825,20200630,1,4,2,0.7,0.7,26743555665.56,26743555665.56,6957480416.38,,,10826568650.75,12504314353.11,233955610.58,,,,,5008405370.28,2220929171.01,3290032689.15,2836257662.77,3756765438.35,8130287114.9,91804295.6,288585305.58,14866875586.68,,6147109806.87,,185972583.15,,9777495813.06,,,,,,,,14866875586.68,,,,2602302052.19,11876680078.88,43631639.82,46567912.63,,11873743806.07,2653479640.43,9220264165.64,8925877416.81,294386748.83,-206670452.2,9013593713.44,8713894656.97,299699056.47,8694366697.37,9549338313.76,,,,,,,,,,,,,,,,,,,,,9220264165.64,0
600030.SH,20200429,20200429,20200331,1,4,1,0.32,0.32,12852369126.5,12852369126.5,3484496441.19,,,5256535968.34,6004720802.1,62071042.27,,,,,2680492035.38,891060967.53,1617370842.05,1339740003.69,1343385533.42,4350510578.4,-30144016.64,230805071.68,7319360520.68,,3171053046.55,,91260965.98,,4353202019.34,,,,,,,,7319360520.68,,,,1277668961.42,5533008605.82,11123393.41,11253950.3,,5532878048.93,1309621456.66,4223256592.27,4075530540.79,147726051.48,-480548306.34,3742708285.93,3566231086.68,176477199.25,,,,,,,,,,,,,,,,,,,,,,,4223256592.27,0
600030.SH,20200320,20200320,20191231,1,4,4,1.01,1.01,43139697642.01,43139697642.01,13257055674.83,,,18022178985.83,17389482278.24,311146842.16,,,,,7424968288.74,4465279339.28,5706832375.04,5994593703.7,-2055398363.41,18747889883.6,801121105.17,236838830.57,26128905191.25,,11212466158.43,,292697028.42,,17562366097.38,,,,,,,,26128905191.25,,,,5683446861.54,17010792450.76,36456301.62,52612670.1,,16994636082.28,4346199630.5,12648436451.78,12228609723.82,419826727.96,874729231.54,13523165683.32,13001195710.01,521969973.31,12330376437.66,13868774423.44,,,,,,,,,,,,,,,,,,,,,12648436451.78,0
