ts_code,trade_date,price,vol,amount,buyer,seller
600030.SH,20190618,20.01,460.0,9204.6,中信证券股份有限公司杭州延安路证券营业部,中信证券股份有限公司杭州朝晖路证券营业部
600030.SH,20190613,21.22,11.5,244.03,海通证券股份有限公司杭州解放路证券营业部,海通证券股份有限公司杭州解放路证券营业部
600030.SH,20190613,20.16,464.01,9354.34,中信证券股份有限公司杭州延安路证券营业部,方正证券股份有限公司杭州文二路证券营业部
600030.SH,20190412,24.27,20.0,485.4,中信建投证券股份有限公司上海控江路证券营业部,中信建投证券股份有限公司总公司交易部
600030.SH,20190411,24.6,12.55,308.73,中泰证券股份有限公司上海周家嘴路证券营业部,申万宏源证券有限公司上海浦东新区陆家嘴环路证券营业部
600030.SH,20190218,16.78,75.0,1258.5,中信证券股份有限公司上海红宝石路证券营业部,招商证券股份有限公司上海世纪大道证券营业部
600030.SH,20181018,13.6,33.5,455.6,中信证券股份有限公司无锡清扬路证券营业部,中国中投证券有限责任公司南京太平南路证券营业部
600030.SH,20180808,16.03,36.35,582.69,国泰君安证券股份有限公司总部,中国国际金融股份有限公司上海黄浦区湖滨路证券营业部
600030.SH,20180711,14.87,100.0,1487.0,海通证券股份有限公司北京工人体育场北路证券营业部,国元证券股份有限公司上海斜土路证券营业部
600030.SH,20180213,15.6,125.0,1950.0,光大证券股份有限公司上海虹口区东大名路证券营业部,国联证券股份有限公司昆山萧林路证券营业部
600030.SH,20180207,18.5,140.0,2590.0,光大证券股份有限公司上海虹口区东大名路证券营业部,光大证券股份有限公司东莞常平大道证券营业部
600030.SH,20180206,19.61,140.0,2745.4,光大证券股份有限公司上海虹口区东大名路证券营业部,国联证券股份有限公司昆山萧林路证券营业部
600030.SH,20180202,21.25,16.0,340.0,中国国际金融股份有限公司北京建国门外大街证券营业部,国泰君安证券股份有限公司宁波民安东路证券营业部
600030.SH,20180123,19.08,19.86,378.93,中国银河证券股份有限公司上海杨浦区靖宇东路证券营业部,中国银河证券股份有限公司上海杨浦区靖宇东路证券营业部
600030.SH,20180109,19.7,16.0,315.2,国泰君安证券股份有限公司宁波民安东路证券营业部,中国国际金融股份有限公司北京建国门外大街证券营业部
600030.SH,20171213,18.3,11.0,201.3,爱建证券有限责任公司上海世纪大道证券营业部,中国国际金融股份有限公司北京建国门外大街证券营业部
600030.SH,20171121,15.96,18.16,289.83,中国银河证券股份有限公司上海杨浦区靖宇东路证券营业部,中国银河证券股份有限公司上海杨浦区靖宇东路证券营业部
600030.SH,20171116,18.08,237.97,4302.41,华泰证券股份有限公司北京西三环北路证券营业部,国金证券股份有限公司沈阳北陵大街证券营业部
