ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399975.SZ,20080905,676.833,720.578,720.578,673.015,732.496,-55.663,-0.076,701570294.0,12107413794.0
399975.SZ,20080912,697.85,687.514,720.441,651.953,676.833,21.017,0.0311,754605135.0,13136534213.0
399975.SZ,20080919,663.594,691.58,691.58,572.001,697.85,-34.256,-0.0491,541260630.0,8745408426.0
399975.SZ,20080926,903.687,730.037,906.69,708.926,663.594,240.093,0.3618,2263979273.0,45676249150.0
399975.SZ,20081010,748.08,906.582,919.608,715.872,903.687,-155.607,-0.1722,1543568109.0,31774159903.0
399975.SZ,20081017,680.254,752.905,863.583,661.32,748.08,-67.826,-0.0907,1349697046.0,26213046098.0
399975.SZ,20081024,705.762,672.235,752.599,651.942,680.254,25.508,0.0375,1174976317.0,22125659434.0
399975.SZ,20081031,644.749,692.578,700.413,628.867,705.762,-61.013,-0.0864,1239497327.0,21895492493.0
399975.SZ,20081107,618.071,622.701,629.285,569.705,644.749,-26.678,-0.0414,1116833280.0,16790427305.0
399975.SZ,20081114,741.248,634.424,741.604,634.424,618.071,123.177,0.1993,1579851115.0,26884858376.0
399975.SZ,20081121,695.498,725.349,746.843,653.543,741.248,-45.75,-0.0617,1660007431.0,29325501185.0
399975.SZ,20081128,679.49,682.815,733.286,661.051,695.498,-16.008,-0.023,1945300915.0,26555845354.0
399975.SZ,20081205,766.594,681.471,779.144,664.908,679.49,87.104,0.1282,2080070203.0,30343028517.0
399975.SZ,20081212,727.511,780.773,792.289,719.416,766.594,-39.083,-0.051,1807531622.0,28734055873.0
399975.SZ,20081219,752.845,742.999,768.259,711.12,727.511,25.334,0.0348,1458351575.0,21129216934.0
399975.SZ,20081226,654.805,753.407,755.398,634.562,752.845,-98.04,-0.1302,1342717273.0,17998911340.0
399975.SZ,20081231,623.392,660.421,661.175,623.392,654.805,-31.413,-0.048,780239585.0,8850572417.0
399975.SZ,20090109,662.372,634.905,679.508,631.165,623.392,38.98,0.0625,1440722731.0,17351224308.0
399975.SZ,20090116,716.526,657.678,746.255,640.215,662.372,54.154,0.0818,1905054084.0,25703312792.0
399975.SZ,20090123,752.782,728.564,763.994,709.154,716.526,36.256,0.0506,1818557880.0,26711874693.0
399975.SZ,20090206,830.884,757.732,830.884,741.214,752.782,78.102,0.1038,1798379451.0,28954652451.0
399975.SZ,20090213,896.59,840.454,901.946,816.449,830.884,65.706,0.0791,2655703021.0,45516243551.0
399975.SZ,20090220,855.587,915.363,956.276,826.355,896.59,-41.003,-0.0457,2134695257.0,39413045479.0
399975.SZ,20090227,751.804,844.12,885.819,743.004,855.587,-103.783,-0.1213,2362027531.0,38955352620.0
399975.SZ,20090306,813.837,744.138,832.484,730.448,751.804,62.033,0.0825,2459138014.0,38084233446.0
399975.SZ,20090313,754.143,817.702,819.701,741.657,813.837,-59.694,-0.0733,1794350336.0,27932658354.0
399975.SZ,20090320,823.899,751.287,832.527,746.027,754.143,69.756,0.0925,1954152662.0,31287304528.0
399975.SZ,20090327,859.619,825.232,881.926,815.503,823.899,35.72,0.0434,2322541157.0,39729014949.0
399975.SZ,20090403,918.381,862.258,945.986,857.984,859.619,58.762,0.0684,2716644566.0,50253554442.0
399975.SZ,20090410,913.341,917.732,931.409,852.324,918.381,-5.04,-0.0055,1829066017.0,32305141311.0
399975.SZ,20090417,966.825,926.767,986.775,925.071,913.341,53.484,0.0586,2168624820.0,43511165628.0
399975.SZ,20090424,877.866,960.392,972.731,877.391,966.825,-88.959,-0.092,1790742456.0,34080088977.0
399975.SZ,20090430,870.077,872.107,902.908,841.948,877.866,-7.789,-0.0089,1196803599.0,22325476781.0
