index_code,con_code,trade_date,weight
399975.SZ,002797.SZ,20170331,0.698
399975.SZ,600030.SH,20170331,12.967
399975.SZ,600061.SH,20170331,1.705
399975.SZ,600109.SH,20170331,2.966
399975.SZ,600369.SH,20170331,1.792
399975.SZ,600837.SH,20170331,12.082
399975.SZ,600958.SH,20170331,4.673
399975.SZ,600999.SH,20170331,3.806
399975.SZ,601099.SH,20170331,3.227
399975.SZ,601198.SH,20170331,2.075
399975.SZ,601211.SH,20170331,8.538
399975.SZ,601377.SH,20170331,3.672
399975.SZ,601555.SH,20170331,2.652
399975.SZ,601688.SH,20170331,5.615
399975.SZ,601788.SH,20170331,3.06
399975.SZ,601901.SH,20170331,3.414
399975.SZ,000166.SZ,20170428,3.688
399975.SZ,000686.SZ,20170428,1.63
399975.SZ,000712.SZ,20170428,1.062
399975.SZ,000728.SZ,20170428,2.574
399975.SZ,000750.SZ,20170428,1.818
399975.SZ,000776.SZ,20170428,5.136
399975.SZ,000783.SZ,20170428,3.31
399975.SZ,002500.SZ,20170428,1.21
399975.SZ,002673.SZ,20170428,2.572
399975.SZ,002736.SZ,20170428,3.516
399975.SZ,002797.SZ,20170428,0.642
399975.SZ,600030.SH,20170428,13.249
399975.SZ,600061.SH,20170428,1.685
399975.SZ,600109.SH,20170428,2.909
399975.SZ,600369.SH,20170428,1.789
399975.SZ,600837.SH,20170428,12.464
399975.SZ,600958.SH,20170428,4.698
399975.SZ,600999.SH,20170428,3.782
399975.SZ,601099.SH,20170428,3.026
399975.SZ,601198.SH,20170428,1.966
399975.SZ,601211.SH,20170428,8.636
399975.SZ,601377.SH,20170428,3.685
399975.SZ,601555.SH,20170428,2.601
399975.SZ,601688.SH,20170428,5.759
399975.SZ,601788.SH,20170428,2.99
399975.SZ,601901.SH,20170428,3.603
399975.SZ,000166.SZ,20170531,3.596
399975.SZ,000686.SZ,20170531,1.427
399975.SZ,000712.SZ,20170531,0.723
399975.SZ,000728.SZ,20170531,2.239
399975.SZ,000750.SZ,20170531,1.668
399975.SZ,000776.SZ,20170531,5.167
399975.SZ,000783.SZ,20170531,3.263
399975.SZ,002500.SZ,20170531,1.1
399975.SZ,002673.SZ,20170531,2.521
399975.SZ,002736.SZ,20170531,3.444
399975.SZ,002797.SZ,20170531,0.378
399975.SZ,600030.SH,20170531,13.568
399975.SZ,600061.SH,20170531,1.77
399975.SZ,600109.SH,20170531,2.655
399975.SZ,600369.SH,20170531,1.619
399975.SZ,600837.SH,20170531,12.983
399975.SZ,600958.SH,20170531,4.531
399975.SZ,600999.SH,20170531,4.078
399975.SZ,601099.SH,20170531,2.873
399975.SZ,601198.SH,20170531,1.965
399975.SZ,601211.SH,20170531,9.24
399975.SZ,601377.SH,20170531,3.652
399975.SZ,601555.SH,20170531,2.464
399975.SZ,601688.SH,20170531,6.021
399975.SZ,601788.SH,20170531,3.167
399975.SZ,601901.SH,20170531,3.889
399975.SZ,000166.SZ,20170630,3.324
399975.SZ,000686.SZ,20170630,1.392
399975.SZ,000712.SZ,20170630,0.724
399975.SZ,000728.SZ,20170630,2.131
399975.SZ,000750.SZ,20170630,1.601
399975.SZ,000776.SZ,20170630,5.037
399975.SZ,000783.SZ,20170630,3.1
399975.SZ,000987.SZ,20170630,0.306
399975.SZ,002500.SZ,20170630,1.604
399975.SZ,002670.SZ,20170630,0.705
399975.SZ,002673.SZ,20170630,2.456
399975.SZ,002736.SZ,20170630,3.216
399975.SZ,002797.SZ,20170630,0.35
399975.SZ,600030.SH,20170630,13.217
399975.SZ,600061.SH,20170630,1.7
399975.SZ,600109.SH,20170630,2.448
399975.SZ,600369.SH,20170630,1.562
399975.SZ,600837.SH,20170630,11.856
399975.SZ,600909.SH,20170630,1.081
399975.SZ,600958.SH,20170630,4.272
399975.SZ,600999.SH,20170630,3.887
399975.SZ,601099.SH,20170630,2.703
399975.SZ,601198.SH,20170630,1.876
399975.SZ,601211.SH,20170630,9.125
399975.SZ,601375.SH,20170630,0.796
399975.SZ,601377.SH,20170630,3.436
399975.SZ,601555.SH,20170630,2.659
