trade_date,close,market_score,regime,ma20,ma60,atr,grid_lower,grid_upper,target_pos,risk_scale,position,turnover,cost,strategy_ret,benchmark_ret,nav,benchmark_nav,excess_nav
20160107,866.5058,0.2000486366345817,Range,1037.82818,1013.9840683333334,46.66896428571431,991.1592157142857,1084.4971442857143,1.0,0.23322062033835345,0.23322062033835345,0.0385010141529169,7.700202830583381e-06,-0.025661331800662122,-0.09441144296758497,0.8057338190969893,0.8994957044566517,0.8957617197112685
20160108,889.7992,0.2044476523382505,Range,1032.34306,1014.5635199999999,51.14939285714288,981.1936671428571,1083.4924528571428,1.0,0.2298989770502815,0.2298989770502815,0.0033216432880719404,6.643286576143882e-07,0.006268769987638255,0.026881989710859422,0.8107847790801697,0.9236759387288177,0.8777805560205333
20160111,817.4083,0.20947082021575805,Range,1022.96268,1013.6224116666667,53.224671428571455,969.7380085714285,1076.1873514285714,1.0,0.21285430402370104,0.21285430402370104,0.01704467302658047,3.4089346053160942e-06,-0.01870717250030556,-0.08135644536430242,0.7956172883572948,0.8485289476853058,0.937643071020325
20160112,831.043,0.1698886855206862,Range,1009.746665,1012.5472016666666,53.686471428571444,956.0601935714286,1063.4331364285715,1.0,0.24611347241260498,0.24611347241260498,0.03325916838890394,6.651833677780789e-06,0.003543843774296771,0.016680403171829727,0.7984368317313627,0.8626827526356652,0.9255277554720799
20160113,824.9032,0.16871448369692987,Range,997.926785,1011.1557983333333,50.578321428571435,947.3484635714285,1048.5051064285715,1.0,0.24755382012064114,0.24755382012064114,0.001440347708036166,2.880695416072332e-07,-0.0018185904894151021,-0.007388065358832296,0.7969848021027773,0.8563091960752556,0.9307208257900519
20160114,849.7196,0.17222198999063093,Range,987.1568100000001,1011.0101166666667,50.05447857142858,937.1023314285715,1037.2112885714287,1.0,0.24118223089287769,0.24118223089287769,0.006371589227763458,1.2743178455526916e-06,0.007446138447242397,0.03008401470621047,0.8029192612795827,0.8820704145230468,0.9102666273119899
20160115,822.0104,0.16345112192036346,Range,974.2256199999999,1010.1624333333333,50.917771428571434,923.3078485714285,1025.1433914285715,1.0,0.2422149781343922,0.2422149781343922,0.0010327472415145034,2.065494483029007e-07,-0.00786511477594671,-0.03260981622643522,0.7966042091338004,0.8533062604066747,0.9335501754717576
20160118,825.4688,0.16204908996556017,Range,962.0031499999999,1009.128115,49.051378571428565,912.9517714285713,1011.0545285714285,1.0,0.24108439822137256,0.24108439822137256,0.0011305799130196248,2.2611598260392496e-07,0.0010188318915316033,0.004207246039709345,0.7974158149069942,0.8568963297914298,0.9305861014728429
20160119,854.4884,0.16420641013544013,Range,950.2991,1008.26158,50.62369285714284,899.6754071428571,1000.9227928571428,1.0,0.23571035500148493,0.23571035500148493,0.005374043219887631,1.0748086439775262e-06,0.008474318571002752,0.03515529599665057,0.8041733705560719,0.887020773903691,0.906600379850163
20160120,845.176,0.15674888318455982,Range,937.37511,1007.3476916666666,50.513792857142846,886.8613171428572,987.8889028571427,1.0,0.23830163145876462,0.23830163145876462,0.00259127645727969,5.18255291455938e-07,-0.0025693408512632646,-0.010898216991593879,0.8021071750636041,0.8773538290336371,0.9142345408660112
20160121,807.2605,0.15082132308286525,Range,921.46509,1006.3417716666667,52.44505714285714,869.020032857143,973.9101471428571,1.0,0.23909957472136914,0.23909957472136914,0.0007979432626045169,1.595886525209034e-07,-0.010690625843698589,-0.04486107035694353,0.793532147368453,0.8379947971814253,0.946941615911553
20160122,818.6125,0.15327536087512664,Range,908.29383,1005.5328883333333,47.51408571428571,860.7797442857143,955.8079157142856,1.0,0.23820054065660728,0.23820054065660728,0.0008990340647618555,1.7980681295237113e-07,0.003362128112671509,0.014062375156470575,0.796200104109429,0.849778994398561,0.9369496179097097
20160125,821.169,0.14928641793858435,Range,895.02883,1004.4095816666667,44.554528571428555,850.4743014285714,939.5833585714286,1.0,0.23833008604687422,0.23833008604687422,0.00012954539026693856,2.5909078053387715e-08,0.0007438665701946485,0.0031229672158683552,0.7967923707500615,0.8524328263388012,0.9347274601944701
20160126,747.0648,0.15477218186625938,Range,880.3295849999998,1002.5022783333334,47.474228571428554,832.8553564285713,927.8038135714283,1.0,0.22055688838947268,0.22055688838947268,0.01777319765740154,3.554639531480308e-06,-0.02151101578630489,-0.09024232527043763,0.7796525574844496,0.7755073059531367,1.0053452127394444
