ts_code,trade_date,trade_dt,close,volume,range_low_120,range_high_120,trading_range_flag,trend_slope_60,volume_trend_20,weekly_trend_26,phase,spring,sos,accumulation_score,future_return_5d,future_return_10d,future_return_20d,spring_success_10d
600030.SH,20130325,2013-03-25,9.31,1102998.19,6.84,11.45,0,0.10047281323877066,-0.108259663386023,0.1591737545565004,B,0,0,0.42,-0.061224489795918435,-0.07518796992481214,-0.029001074113856218,0
600030.SH,20130326,2013-03-26,9.06,1268407.99,6.84,11.45,0,0.04982618771726521,-0.09430082763933312,0.1591737545565004,B,0,0,0.42,-0.02759381898454749,-0.05408388520971308,-0.009933774834437026,0
600030.SH,20130327,2013-03-27,9.16,1012622.1,6.84,11.45,0,0.07638072855464162,-0.11943129906563854,0.1591737545565004,B,0,0,1.1,-0.05131004366812231,-0.08296943231441045,-0.02729257641921401,0
600030.SH,20130328,2013-03-28,8.8,1443869.2,6.84,11.45,0,0.029239766081871288,-0.1109450363080513,0.1591737545565004,B,0,0,0.42,-0.030681818181818366,-0.04772727272727273,0.017045454545454364,0
600030.SH,20130329,2013-03-29,8.73,645550.25,6.84,11.45,0,-0.0146726862302482,-0.1385435968161307,0.07116564417177917,B,0,0,0.42,-0.003436426116838587,-0.001145475372279492,0.056128293241695326,0
600030.SH,20130401,2013-04-01,8.74,718531.65,6.84,11.45,0,-0.00794551645856989,-0.19442958835097635,0.07116564417177917,B,0,0,9.56,-0.014874141876430325,-0.010297482837528626,0.06292906178489699,0
600030.SH,20130402,2013-04-02,8.81,1088447.26,6.84,11.45,0,0.006857142857142895,-0.19188526714263565,0.07116564417177917,B,0,0,8.72,-0.02724177071509648,-0.011350737797956811,0.04313280363223604,0
600030.SH,20130403,2013-04-03,8.69,642135.58,6.84,11.45,0,-0.07944915254237284,-0.18791339358390202,0.12564766839378239,B,0,0,7.25,-0.033371691599539566,0.05753739930955115,0.04948216340621392,0
600030.SH,20130408,2013-04-08,8.53,1013302.06,6.84,11.45,0,-0.1096033402922757,-0.20260510071195847,0.12564766839378239,B,0,0,11.05,-0.01758499413833514,0.07502930832356403,0.062133645955451566,0
600030.SH,20130409,2013-04-09,8.7,944487.88,6.84,11.45,0,-0.08517350157728709,-0.1797684732576308,0.12564766839378239,B,0,0,11.94,0.0022988505747127963,0.0022988505747127963,0.04137931034482767,0
600030.SH,20130410,2013-04-10,8.61,482420.91,6.84,11.45,0,-0.09463722397476348,-0.1526897872862809,0.12564766839378239,B,0,0,10.56,0.004645760743321903,0.04994192799070851,0.03600464576074347,0
600030.SH,20130411,2013-04-11,8.57,598892.72,6.84,11.45,0,-0.08440170940170932,-0.14374975250758049,0.12564766839378239,B,0,0,12.02,0.016336056009334854,0.046674445740956916,0.022170361726954413,0
600030.SH,20130412,2013-04-12,8.4,662690.39,6.84,11.45,0,-0.10064239828693788,-0.14726786342271847,-0.005917159763313529,B,0,0,13.13,0.09404761904761894,0.06071428571428572,0.04761904761904767,0
600030.SH,20130415,2013-04-15,8.38,611244.38,6.84,11.45,0,-0.11603375527426152,-0.15047447848844897,-0.005917159763313529,B,0,0,10.65,0.09427207637231483,0.06801909307875875,0.07756563245823367,0
600030.SH,20130416,2013-04-16,8.72,1136462.16,6.84,11.45,0,-0.0428100987925355,-0.20925751903216006,-0.005917159763313529,B,0,0,18.02,0.0,0.05733944954128445,0.05160550458715596,0
600030.SH,20130417,2013-04-17,8.65,716243.79,6.84,11.45,0,-0.1119096509240246,-0.25542869681431424,-0.005917159763313529,B,0,0,18.22,0.04508670520231206,0.07398843930635834,0.07283236994219644,0
600030.SH,20130418,2013-04-18,8.71,673146.71,6.84,11.45,0,-0.10849539406345943,-0.27545139066491797,-0.005917159763313529,B,0,0,19.34,0.02985074626865658,0.055109070034442986,0.053960964408725554,0
600030.SH,20130419,2013-04-19,9.19,2006175.34,6.84,11.45,0,-0.043704474505723234,-0.293258066398317,0.11124546553808945,B,0,0,20.36,-0.030467899891186034,-0.007616974972796564,0.0021762785636563198,0
600030.SH,20130422,2013-04-22,9.17,821111.08,6.84,11.45,0,-0.039790575916230475,-0.290426736737994,0.11124546553808945,B,0,0,18.18,-0.02399127589967287,-0.01199563794983638,-0.017448200654307522,0
600030.SH,20130423,2013-04-23,8.72,1089032.01,6.84,11.45,0,-0.09917355371900816,-0.28038746944363113,0.11124546553808945,B,0,0,13.5,0.05733944954128445,0.03899082568807333,0.04243119266055029,0
600030.SH,20130424,2013-04-24,9.04,1084688.78,6.84,11.45,0,-0.08686868686868698,-0.2875446993487357,0.11124546553808945,B,0,0,16.32,0.02765486725663724,-0.01327433628318575,0.019911504424778848,0
600030.SH,20130425,2013-04-25,8.97,955566.13,6.84,11.45,0,-0.09118541033434635,-0.3027195899196401,0.11124546553808945,B,0,0,16.31,0.024526198439241753,-0.02341137123745829,0.05908584169453723,0
600030.SH,20130426,2013-04-26,8.91,661986.52,6.84,11.45,0,-0.10271903323262832,-0.30736492178767394,0.05945303210463737,B,0,0,15.61,0.023569023569023573,-0.012345679012345623,0.058361391694724984,0
600030.SH,20130502,2013-05-02,8.95,673784.61,6.84,11.45,0,-0.09959758551307851,-0.3298871126798888,0.05945303210463737,B,0,0,20.25,0.012290502793296243,0.00893854748603351,0.05810055865921804,0
600030.SH,20130503,2013-05-03,9.22,1217907.93,6.84,11.45,0,-0.050463439752832184,-0.2903975972434134,0.16856780735107746,E,0,0,17.99,-0.017353579175705014,-0.005422993492407935,0.009761388286334105,0
