ts_code,trade_date,trade_dt,close,volume,range_low_120,range_high_120,trading_range_flag,trend_slope_60,volume_trend_20,weekly_trend_26,phase,spring,sos,accumulation_score,future_return_5d,future_return_10d,future_return_20d,spring_success_10d
300759.SZ,20200825,2020-08-25,42.4,46635.96,20.73,50.7,0,0.41806020066889626,-0.14590091825214502,0.5732075471698113,E,0,0,20.23,0.1247641509433961,0.03726415094339619,-0.03490566037735843,0
300759.SZ,20200826,2020-08-26,44.45,63662.85,20.73,50.7,0,0.3873283395755307,-0.10738048905191722,0.5732075471698113,E,0,0,20.0,0.07559055118110236,-0.04071991001124864,-0.037345331833520845,0
300759.SZ,20200827,2020-08-27,45.51,65750.46,20.73,50.7,0,0.4320327249842668,-0.07725546098227931,0.5732075471698113,E,0,0,20.0,0.06921555702043514,-0.09712151175565797,-0.052515930564711044,0
300759.SZ,20200828,2020-08-28,47.34,56837.8,20.73,50.7,0,0.43672230652503785,-0.13047551738305674,0.9088709677419355,E,0,0,20.0,-0.021757498943810738,-0.1197718631178708,-0.09125475285171103,0
300759.SZ,20200831,2020-08-31,47.43,49382.97,20.73,50.7,0,0.4153983885407342,-0.1271431638203323,0.9088709677419355,E,0,0,20.09,-0.07463630613535732,-0.11743622180054814,-0.10099093400801173,0
300759.SZ,20200901,2020-09-01,47.69,35901.17,20.73,50.7,0,0.43471720818291204,-0.11259145630645184,0.9088709677419355,E,0,0,20.23,-0.07779408681065214,-0.11763472426085131,-0.08513315160410972,0
300759.SZ,20200902,2020-09-02,47.81,35048.62,20.73,50.7,0,0.46252676659528924,-0.1037646745317361,0.9088709677419355,E,0,0,20.1,-0.10813637314369384,-0.1171303074670571,-0.06295754026354328,0
300759.SZ,20200903,2020-09-03,48.66,48111.95,20.73,50.77,0,0.4439169139465873,-0.07985064041137202,0.9088709677419355,E,0,0,20.0,-0.15556925606247418,-0.1409782161939992,-0.06247431154952732,0
300759.SZ,20200904,2020-09-04,46.31,65755.26,20.73,50.77,0,0.3721481481481481,-0.16578522865558387,0.5692985428668249,E,0,0,20.85,-0.10019434247462755,-0.09738717339667469,0.01943424746275091,0
300759.SZ,20200907,2020-09-07,43.89,44888.9,20.73,50.77,0,0.31367853935947343,-0.2007077228089853,0.5692985428668249,E,0,0,20.99,-0.046251993620414655,-0.06470722260195949,0.0991114149008887,0
300759.SZ,20200908,2020-09-08,43.98,31342.77,20.73,50.77,0,0.21190410581427388,-0.20455149464098044,0.5692985428668249,E,0,0,18.92,-0.04320145520691221,-0.0695770804911322,0.10186448385629832,0
300759.SZ,20200909,2020-09-09,42.64,29871.54,20.73,50.77,0,0.19172722191168257,-0.23524183061510306,0.5692985428668249,E,0,0,20.17,-0.010084427767354631,0.0035178236397748197,0.13133208255159468,0
300759.SZ,20200910,2020-09-10,41.09,40184.47,20.73,50.77,0,0.14265850945494996,-0.18328159945631461,0.5692985428668249,E,0,0,15.71,0.017279143343879033,0.049403747870528036,0.16695059625212938,0
300759.SZ,20200911,2020-09-11,41.67,24319.2,20.73,50.77,0,0.12469635627530384,-0.16848261764650196,0.596551724137931,E,0,0,12.16,0.0031197504199662607,0.03239740820734349,0.11423086153107742,0
300759.SZ,20200914,2020-09-14,41.86,34382.22,20.73,50.77,0,0.1689472214465233,-0.14258236396518098,0.596551724137931,E,0,0,7.59,-0.019350215002388982,0.01863354037267073,0.12255136168179659,0
300759.SZ,20200915,2020-09-15,42.08,24526.44,20.73,50.77,0,0.11205073995771664,-0.14201336126895114,0.596551724137931,B,0,0,3.83,-0.027566539923954303,0.036834600760456304,0.13830798479087458,0
300759.SZ,20200916,2020-09-16,42.21,23719.47,22.19,50.77,0,0.11519154557463662,-0.1410599288507608,0.596551724137931,B,0,0,4.7,0.013740819710968966,0.061359867330016415,0.13835583984837707,0
300759.SZ,20200917,2020-09-17,41.8,20745.22,23.23,50.77,0,0.06442577030812302,-0.11199466319529705,0.596551724137931,B,0,0,2.63,0.03157894736842115,0.09138755980861246,0.11291866028708153,0
300759.SZ,20200918,2020-09-18,41.8,28477.43,23.66,50.77,0,0.08486893329872824,-0.1428842909410365,0.8438464931627698,B,0,0,3.0,0.02918660287081365,0.12942583732057433,0.11387559808612457,0
300759.SZ,20200921,2020-09-21,41.05,29560.78,23.66,50.77,0,-0.011795859412614407,-0.14756759318069845,0.8438464931627698,B,0,0,3.11,0.03873325213154688,0.17515225334957374,0.1965895249695493,0
300759.SZ,20200922,2020-09-22,40.92,26860.37,24.71,50.77,0,-0.03308128544423439,-0.17955926894238972,0.8438464931627698,B,0,0,3.4,0.0662267839687194,0.1842619745845553,0.24120234604105573,0
