ts_code,freq,trade_time,trade_date,open,high,low,close,volume,amount,adjust_type,source,updated_at,trade_dt,ma20,ma60,vol_ma20,vol_ma120,atr20,atr20_norm,atr20_change_20,range_low_120,range_high_120,range_width_120,range_width_ratio_120,range_position_120,trend_slope_20,trend_slope_60,volume_trend_20,vol_dry_up_ratio,vol_spike,support_test_count_60,trading_range_flag,weekly_trend_26,weekly_range_pos_26
600030.SH,1d,2020-07-16 15:00:00,20200716,26.02,26.59,24.12,24.22,5305665.3,16312519.759,qfq,tushare,2026-02-28 16:02:51,2020-07-16,22.9615,20.345166666666668,3851457.2370000007,1855001.1848333334,1.2525,0.05171345995045417,1.8423584391981778,17.16,28.28,11.120000000000001,0.45912469033856323,0.6348920863309351,0.28283898305084754,0.23887468030690528,3.9895150709072444,-1.0762559444650939,0,0.0,0,0.25190839694656475,0.8165467625899279
600030.SH,1d,2020-07-17 15:00:00,20200717,24.53,24.7,23.13,23.64,3691222.58,10679761.086,qfq,tushare,2026-02-28 16:02:51,2020-07-17,23.203,20.417333333333332,4005978.0050000004,1876254.7746666665,1.3195000000000001,0.05581641285956007,2.0476247485872996,17.16,28.28,11.120000000000001,0.4703891708967851,0.5827338129496403,0.25677830940988855,0.22423614707405504,4.211913090502547,-1.1350927704963194,0,0.0,0,0.1203791469194313,0.5827338129496403
600030.SH,1d,2020-07-20 15:00:00,20200720,24.17,25.7,23.98,25.31,3791035.89,11368161.847,qfq,tushare,2026-02-28 16:02:51,2020-07-20,23.5155,20.515833333333333,4144441.0545,1899193.77675,1.403,0.055432635322007116,1.9972936999644126,17.16,28.28,11.120000000000001,0.43935203476886614,0.732913669064748,0.32791185729275973,0.304639175257732,4.230967487387793,-1.1822107387020746,0,0.0,0,0.1203791469194313,0.5827338129496403
600030.SH,1d,2020-07-21 15:00:00,20200721,25.05,25.47,24.69,25.05,2223715.38,6735068.069,qfq,tushare,2026-02-28 16:02:51,2020-07-21,23.783,20.614333333333335,4117120.2629999993,1906913.5516666665,1.4045,0.05606786427145709,2.068158128188067,17.16,28.28,11.120000000000001,0.4439121756487026,0.7095323741007195,0.2715736040609138,0.30877742946708464,3.6695295524755656,-1.1590492444723486,0,0.0,0,0.1203791469194313,0.5827338129496403
600030.SH,1d,2020-07-22 15:00:00,20200722,25.15,26.23,24.91,25.19,3460703.73,10720772.751,qfq,tushare,2026-02-28 16:02:51,2020-07-22,24.047,20.715,4147346.6075000004,1924017.8943333332,1.419,0.05633187772925764,1.8180092602751747,17.16,28.28,11.120000000000001,0.44144501786423185,0.7221223021582734,0.26519337016574585,0.3154046997389035,3.1681482536215633,-1.15556550680473,0,0.0,0,0.1203791469194313,0.5827338129496403
600030.SH,1d,2020-07-23 15:00:00,20200723,24.83,25.39,24.37,25.22,2812984.41,8482938.427,qfq,tushare,2026-02-28 16:02:51,2020-07-23,24.315,20.81983333333333,4217163.404999999,1933361.0235000001,1.45,0.05749405233941317,1.8089345128185625,17.16,28.28,11.120000000000001,0.44091990483743065,0.7248201438848919,0.2698892245720039,0.33227680929741155,3.0608290498739574,-1.1812601752804492,0,0.0,0,0.1203791469194313,0.5827338129496403
600030.SH,1d,2020-07-24 15:00:00,20200724,24.97,25.22,23.38,23.54,3442431.36,10057112.619,qfq,tushare,2026-02-28 16:02:51,2020-07-24,24.4905,20.89966666666667,4324938.8455,1945079.0239166666,1.509,0.0641036533559898,2.003499828585908,17.16,28.28,11.120000000000001,0.47238742565845376,0.5737410071942445,0.1752371442835745,0.25546666666666673,3.004334257785623,-1.2235286033732344,0,0.0,0,0.1236276849642004,0.5737410071942445
600030.SH,1d,2020-07-27 15:00:00,20200727,23.65,23.7,23.05,23.54,1849951.33,5239755.509,qfq,tushare,2026-02-28 16:02:51,2020-07-27,24.697,20.977666666666668,4341620.948999999,1940057.9200833335,1.5064999999999997,0.06399745114698385,1.819955792878447,17.16,28.28,11.120000000000001,0.47238742565845376,0.5737410071942445,0.21277691911385888,0.24814422057264052,2.873320527522049,-1.2378821292167959,0,0.0,0,0.1236276849642004,0.5737410071942445
600030.SH,1d,2020-07-28 15:00:00,20200728,23.82,23.87,23.25,23.46,1455424.28,4147471.334,qfq,tushare,2026-02-28 16:02:51,2020-07-28,24.8745,21.048000000000002,4334401.786,1945908.372416667,1.4984999999999997,0.06387468030690535,1.7058401806606058,17.16,28.28,11.120000000000001,0.473998294970162,0.5665467625899281,0.1783023606228027,0.21933471933471949,2.6806600563409857,-1.2274439266721537,0,0.0,0,0.1236276849642004,0.5737410071942445
600030.SH,1d,2020-07-29 15:00:00,20200729,23.45,24.7,23.35,24.59,2776370.4,8139619.016,qfq,tushare,2026-02-28 16:02:51,2020-07-29,25.083,21.135833333333334,4381105.3225,1939998.36175,1.5324999999999998,0.062322082147214304,1.7695689171841469,17.68,28.28,10.600000000000001,0.43106954046360313,0.6518867924528301,0.20421155729676777,0.2727743271221532,2.685310273937576,-1.2583036196731467,0,0.0,0,0.1236276849642004,0.5737410071942445
600030.SH,1d,2020-07-30 15:00:00,20200730,24.78,24.84,24.3,24.41,1943339.17,5781617.009,qfq,tushare,2026-02-28 16:02:51,2020-07-30,25.2275,21.2165,4246213.5765,1935962.4324166668,1.4874999999999996,0.06093814010651371,1.521901490561874,17.68,28.28,10.600000000000001,0.43424825891028274,0.6349056603773584,0.13429368029739774,0.2473173224322942,2.078221953133719,-1.1933346977190262,0,0.0,0,0.1236276849642004,0.5737410071942445
600030.SH,1d,2020-07-31 15:00:00,20200731,24.35,25.28,24.31,24.74,2256131.3,6786976.078,qfq,tushare,2026-02-28 16:02:51,2020-07-31,25.2805,21.303666666666665,3996478.6655,1934110.1794999999,1.4279999999999997,0.05772029102667744,1.244362055027457,17.68,28.28,10.600000000000001,0.4284559417946646,0.6660377358490563,0.044763513513513375,0.2680676576114811,1.3486551236892312,-1.0663138573280024,0,0.0,0,0.25329280648429586,0.6816546762589926
600030.SH,1d,2020-08-03 15:00:00,20200803,25.03,25.22,24.58,25.12,2291448.16,6917767.204,qfq,tushare,2026-02-28 16:02:51,2020-08-03,25.234,21.400166666666667,3707384.6714999997,1937902.2781666669,1.3414999999999997,0.05340366242038215,0.9497763224260054,17.68,28.28,10.600000000000001,0.42197452229299365,0.7018867924528303,-0.03570057581573893,0.29953440248318697,0.786149581843341,-0.9130916523857613,0,0.0,0,0.25329280648429586,0.6816546762589926
