ts_code,freq,trade_time,trade_date,open,high,low,close,volume,amount,adjust_type,source,updated_at,trade_dt,ma20,ma60,vol_ma20,vol_ma120,atr20,atr20_norm,atr20_change_20,range_low_120,range_high_120,range_width_120,range_width_ratio_120,range_position_120,trend_slope_20,trend_slope_60,volume_trend_20,vol_dry_up_ratio,vol_spike,support_test_count_60,trading_range_flag,weekly_trend_26,weekly_range_pos_26
300759.SZ,1d,2021-05-17 15:00:00,20210517,73.62,78.36,73.38,75.95,57685.12,1021576.597,qfq,tushare,2026-02-28 16:33:26,2021-05-17,69.2005,60.91966666666667,42138.1085,51245.03325,3.694999999999999,0.04865042791310071,-0.08576957199722501,39.5,78.36,38.86,0.5116524028966425,0.9379825012866702,0.1968168925307281,0.13595572838767578,-0.15731090799805825,0.177713315270412,0,0.0,0,0.49421554698599546,0.9751357530723066
300759.SZ,1d,2021-05-18 15:00:00,20210518,75.88,76.0,73.11,74.4,55176.16,948643.587,qfq,tushare,2026-02-28 16:33:26,2021-05-18,69.74249999999999,61.04750000000001,43689.4095,51534.37458333334,3.7039999999999993,0.04978494623655912,-0.04660102958852119,39.5,78.36,38.86,0.5223118279569892,0.8980957282552755,0.17054751415984892,0.11494080623407754,-0.10685000618763607,0.152227811955837,0,0.0,0,0.49421554698599546,0.9751357530723066
300759.SZ,1d,2021-05-19 15:00:00,20210519,73.75,74.7,73.06,73.15,28903.05,493971.827,qfq,tushare,2026-02-28 16:33:26,2021-05-19,70.2465,61.23016666666667,43251.259999999995,51127.645833333336,3.6094999999999984,0.04934381408065616,-0.0664123731612466,39.5,78.36,38.86,0.5312371838687627,0.8659289758106024,0.15982241953385135,0.17623412124135718,-0.09205424289900055,0.15405336398646052,0,0.0,0,0.49421554698599546,0.9751357530723066
300759.SZ,1d,2021-05-20 15:00:00,20210520,73.16,77.92,72.72,77.87,51705.42,907344.737,qfq,tushare,2026-02-28 16:33:26,2021-05-20,70.8995,61.50166666666667,44202.9695,51197.532250000004,3.6875,0.047354565301142924,-0.08318166477458588,39.5,78.36,38.86,0.4990368562989598,0.9873906330416883,0.20151211232834432,0.2645339395907764,-0.044480012475399344,0.13661913851326313,0,0.0,0,0.49421554698599546,0.9751357530723066
300759.SZ,1d,2021-05-21 15:00:00,20210521,77.85,80.03,77.01,77.93,52314.78,955270.188,qfq,tushare,2026-02-28 16:33:26,2021-05-21,71.44500000000001,61.83583333333333,45007.053,51325.051583333334,3.6859999999999986,0.04729885794944178,-0.05175906079222581,39.5,80.03,40.53,0.5200821249839599,0.9481865284974095,0.16278722769322607,0.3464063579820318,-0.007751498250592848,0.12309775418491664,0,0.0,0,0.7583483754512637,0.9481865284974095
300759.SZ,1d,2021-05-24 15:00:00,20210524,78.83,79.41,74.48,77.54,60092.47,1074953.866,qfq,tushare,2026-02-28 16:33:26,2021-05-24,71.9785,62.152,46567.090500000006,51322.56808333333,3.791499999999999,0.048897343306680406,-0.02786818881590014,39.5,80.03,40.53,0.522697962342017,0.9385640266469283,0.1595633318378944,0.32388594843776697,0.04452485168928866,0.09265860538412218,0,0.0,0,0.7583483754512637,0.9481865284974095
300759.SZ,1d,2021-05-25 15:00:00,20210525,77.84,81.26,77.84,80.47,43309.59,808033.182,qfq,tushare,2026-02-28 16:33:26,2021-05-25,72.6995,62.553833333333344,47710.974,51045.80191666667,3.8845,0.04827264819187275,-0.04880417271086046,39.5,81.26,41.760000000000005,0.5189511619236984,0.9810823754789271,0.2183194549583649,0.4277856635911994,0.1137335305581082,0.06533011122267884,0,0.0,0,0.7583483754512637,0.9481865284974095
300759.SZ,1d,2021-05-26 15:00:00,20210526,79.65,80.47,78.57,79.55,38226.55,706929.447,qfq,tushare,2026-02-28 16:33:26,2021-05-26,73.208,62.94866666666667,47624.710999999996,50797.6805,3.7944999999999993,0.04769956002514141,-0.028933252774556384,39.5,81.26,41.760000000000005,0.5249528598365808,0.9590517241379308,0.14658402997982134,0.4240959541711422,0.11843907183107838,0.06246288154830226,0,0.0,0,0.7583483754512637,0.9481865284974095
300759.SZ,1d,2021-05-27 15:00:00,20210527,79.65,81.64,78.55,81.64,55754.49,1041911.399,qfq,tushare,2026-02-28 16:33:26,2021-05-27,73.95349999999999,63.396166666666666,47517.7555,50768.244333333336,3.692,0.045222929936305736,-0.11891208331396108,39.5,81.64,42.14,0.5161685448309652,1.0,0.22343773415255508,0.4900529293666729,0.12384035666020443,0.06402602406321811,0,0.0,0,0.7583483754512637,0.9481865284974095
300759.SZ,1d,2021-05-28 15:00:00,20210528,80.82,80.85,75.67,77.03,60716.87,1100164.794,qfq,tushare,2026-02-28 16:33:26,2021-05-28,74.23150000000001,63.73583333333333,48513.240999999995,51038.26175,3.7064999999999997,0.04811761651304686,-0.024268392059168642,39.5,81.64,42.14,0.5470595871738284,0.8906027527289986,0.07779487897019721,0.3597528684907325,0.18674648559004137,0.0494730945651769,0,0.0,0,0.884756545143137,0.8906027527289986
300759.SZ,1d,2021-05-31 15:00:00,20210531,75.89,78.35,75.83,77.62,42073.55,755296.866,qfq,tushare,2026-02-28 16:33:26,2021-05-31,74.4975,64.11999999999999,48344.4075,50987.12983333333,3.7004999999999995,0.047674568410203545,0.0069737937650362625,40.49,81.64,41.15,0.530146869363566,0.9023086269744837,0.07358229598893518,0.42239325636796776,0.20878556717597752,0.05183116488360606,0,0.0,0,0.884756545143137,0.8906027527289986
300759.SZ,1d,2021-06-01 15:00:00,20210601,77.62,81.13,77.18,80.82,50827.27,943723.678,qfq,tushare,2026-02-28 16:33:26,2021-06-01,74.9855,64.54883333333333,47892.417,50700.81058333334,3.726999999999998,0.0461148230635981,-0.0423964561954171,41.0,81.64,40.64,0.5028458302400396,0.9798228346456691,0.13734871939206283,0.4670539117807222,0.17450003408183434,0.05539149277933886,0,0.0,0,0.884756545143137,0.8906027527289986
300759.SZ,1d,2021-06-02 15:00:00,20210602,80.8,81.06,77.07,77.84,34454.57,632370.25,qfq,tushare,2026-02-28 16:33:26,2021-06-02,75.386,64.99216666666668,47575.148499999996,50575.23691666666,3.8059999999999987,0.0488951695786228,-0.0097593701637958,41.0,81.64,40.64,0.5220966084275437,0.906496062992126,0.11470714592581999,0.5191256830601092,0.1565781138203748,0.059319315134597206,0,0.0,0,0.884756545143137,0.8906027527289986
300759.SZ,1d,2021-06-03 15:00:00,20210603,77.5,79.65,76.64,78.23,24899.77,453145.899,qfq,tushare,2026-02-28 16:33:26,2021-06-03,75.8985,65.47066666666667,46390.0735,50421.87466666666,3.7265,0.047635178320337465,-0.07899902667333825,41.83,81.64,39.81,0.5088840598235971,0.9143431298668677,0.15077964107090325,0.5797657512116317,0.1072466841576678,0.07996134997598658,0,0.0,0,0.884756545143137,0.8906027527289986
