ts_code,trade_date,trade_dt,close,volume,range_low_120,range_high_120,trading_range_flag,trend_slope_60,volume_trend_20,weekly_trend_26,phase,spring,sos,accumulation_score,future_return_5d,future_return_10d,future_return_20d,spring_success_10d,meta_score,score_bucket
300759.SZ,20221229,2022-12-29,43.81,134254.77,30.24,70.51,0,0.2431895573212259,-0.4396810178123225,-0.2976529160739687,E,0,0,31.53,0.066423191052271,0.1244008217301984,0.1075097009815111,0,0.07347046098313416,9
300759.SZ,20221230,2022-12-30,44.16,81892.06,30.24,70.51,0,0.2581196581196578,-0.4072311374925922,-0.2688741721854305,E,0,0,31.44,0.0572916666666667,0.1893115942028986,0.0441576086956523,0,0.06703064832167438,9
300759.SZ,20230103,2023-01-03,43.77,83514.26,30.24,69.92,0,0.2957371225577265,-0.3740608102894942,-0.2688741721854305,E,0,0,31.35,0.085218185972127,0.1839159241489603,0.0525474068997029,0,0.058792707981578644,8
300759.SZ,20230104,2023-01-04,45.5,134852.75,30.24,69.92,0,0.4121663563004345,-0.3353775560103322,-0.2688741721854305,E,0,0,29.61,0.0639560439560438,0.1136263736263736,0.015164835164835,0,0.03587764404177391,8
300759.SZ,20230105,2023-01-05,47.41,173686.97,30.24,66.89,0,0.4637233714109292,-0.2797725679687461,-0.2688741721854305,E,0,0,27.36,0.0432398228221895,0.136890951276102,-0.0206707445686563,0,0.012776440068490474,7
300759.SZ,20230106,2023-01-06,46.72,95234.28,30.24,66.89,0,0.4085016581248115,-0.2390135517197132,-0.2485121441209586,E,0,0,27.05,0.0543664383561643,0.1496147260273972,-0.0192636986301369,0,0.009244278450307852,7
300759.SZ,20230109,2023-01-09,46.69,93165.9,30.24,65.59,0,0.2193784277879342,-0.1623088859445739,-0.2485121441209586,E,0,0,27.05,0.1248661383593918,0.1377168558577854,-0.0447633326194044,0,0.01176227226383093,7
300759.SZ,20230110,2023-01-10,47.5,82176.55,30.24,59.1,0,0.2876118189211167,-0.1270156072957056,-0.2485121441209586,E,0,0,27.23,0.0909473684210526,0.0145263157894737,-0.0778947368421053,0,0.0022296065881131297,7
300759.SZ,20230111,2023-01-11,48.41,107351.39,30.24,57.26,0,0.2940390269981288,-0.0600124378683163,-0.2485121441209586,E,0,0,25.49,0.0466845693038628,-0.0239619913241064,-0.1162982854782068,0,-0.016763917405655873,7
300759.SZ,20230112,2023-01-12,49.46,107622.59,30.24,57.26,0,0.3572996706915479,0.0356599769458034,-0.2485121441209586,E,0,0,20.15,0.0897695107157299,-0.0022240194096239,-0.1465830974524868,0,-0.06171664967761621,5
300759.SZ,20230113,2023-01-13,49.26,91749.72,30.24,57.26,0,0.3690939410783769,0.08725600601358,-0.2809808787038389,E,0,0,18.05,0.0903369874137232,-0.0150223304912706,-0.1593585058871295,0,-0.08052712502328593,4
300759.SZ,20230116,2023-01-16,52.52,182483.39,30.24,56.53,0,0.5492625368731565,0.1825398823952484,-0.2809808787038389,E,0,0,11.58,0.0114242193450113,-0.1220487433358721,-0.2056359482102057,0,-0.1395901898230535,2
300759.SZ,20230117,2023-01-17,51.82,88252.12,30.24,55.84,0,0.6414317389927147,0.197055662062775,-0.2809808787038389,E,0,0,11.31,-0.0700501736781166,-0.1109610189116171,-0.2252026244693169,0,-0.14994793939111237,2
300759.SZ,20230118,2023-01-18,50.67,79316.03,30.24,55.84,0,0.665680473372781,0.2427905762866875,-0.2809808787038389,E,0,0,6.5,-0.0674955595026642,-0.0884152358397474,-0.2127491612393921,0,-0.18190352197024456,1
300759.SZ,20230119,2023-01-19,53.9,137951.74,30.24,55.2,0,0.5769455822118197,0.3616474999424741,-0.2809808787038389,E,0,0,0.33,-0.0844155844155843,-0.1385899814471243,-0.2384044526901669,0,-0.22304578907103836,0
300759.SZ,20230120,2023-01-20,53.71,73221.45,30.24,55.2,0,0.5223922902494331,0.307017584898561,-0.1465119974574924,E,0,0,2.12,-0.0966300502699682,-0.1469000186185067,-0.2716440141500652,0,-0.20209233409588492,1
300759.SZ,20230130,2023-01-30,53.12,88177.87,30.24,55.44,0,0.4565396216068,0.3225856655332186,-0.1465119974574924,E,0,0,0.0,-0.131965361445783,-0.1603915662650601,-0.269578313253012,0,-0.20978484004936038,0
300759.SZ,20230131,2023-01-31,48.19,308617.2,30.24,55.44,0,0.427006218537163,0.5466923485850106,-0.1465119974574924,E,0,0,0.0,-0.0439925295704503,-0.0910977381199419,-0.1946461921560488,0,-0.24137698328951898,0
300759.SZ,20230201,2023-02-01,47.25,287077.59,30.24,55.44,0,0.26,0.6435866498574878,-0.1465119974574924,E,0,0,0.0,-0.0224338624338624,-0.0946031746031745,-0.1676190476190476,0,-0.2435502645060864,0
300759.SZ,20230202,2023-02-02,49.35,176637.43,30.24,55.44,0,0.2973186119873818,0.6561507608402675,-0.1465119974574924,E,0,0,0.0,-0.0591691995947315,-0.1446808510638297,-0.2251266464032421,0,-0.24822378301084272,0
300759.SZ,20230203,2023-02-03,48.52,100237.53,30.24,55.44,0,0.2308472856418062,0.6261620358515045,-0.1147600802773216,E,0,0,0.0,-0.0556471558120362,-0.1465375103050289,-0.1953833470733719,0,-0.23875196838284646,0
300759.SZ,20230206,2023-02-06,46.11,168750.59,30.24,55.44,0,0.0839210155148095,0.6722575021623827,-0.1147600802773216,B,0,0,0.0,-0.0327477770548687,-0.0952071134244199,-0.1841249186727391,0,-0.2347609800937883,0
300759.SZ,20230207,2023-02-07,46.07,81097.81,30.24,55.44,0,0.005456132693147,0.6569224225388903,-0.1147600802773216,B,0,0,0.0,-0.0492728456696331,-0.1285001085304971,-0.1795094421532451,0,-0.22660554099543434,0
300759.SZ,20230208,2023-02-08,46.19,76987.22,30.24,55.44,0,0.0596467079605411,0.5877818497205352,-0.1147600802773216,B,0,0,0.0,-0.0738255033557045,-0.1363931586923575,-0.1861874864689325,0,-0.22021582234894765,0
